Date,Sand_Temp,Air_Temp,Solar_Rad,Rain,Color,Concentration,Deployment
8/21/2018,31.42,28.09,199.85,0.38,2_White,30,2
8/21/2018,31.5,28.09,199.85,0.38,3_Black,30,2
8/22/2018,31.81,29.07,205.96,0.1,2_White,30,2
8/22/2018,32.15,29.07,205.96,0.1,3_Black,30,2
8/23/2018,31.93,26.98,252.19,0,2_White,30,2
8/23/2018,32.29,26.98,252.19,0,3_Black,30,2
8/24/2018,31.35,27.29,201.63,0,2_White,30,2
8/24/2018,31.56,27.29,201.63,0,3_Black,30,2
8/25/2018,32.13,28.34,237.02,0.51,2_White,30,2
8/25/2018,32.26,28.34,237.02,0.51,3_Black,30,2
8/26/2018,31.79,27.92,286.6,0,2_White,30,2
8/26/2018,31.93,27.92,286.6,0,3_Black,30,2
8/27/2018,28.91,26.59,152.76,8.36,2_White,30,2
8/27/2018,29.35,26.59,152.76,8.36,3_Black,30,2
8/28/2018,30.25,27.58,237.62,0.13,2_White,30,2
8/28/2018,30.51,27.58,237.62,0.13,3_Black,30,2
8/29/2018,29.47,26.94,117.62,0.41,2_White,30,2
8/29/2018,29.56,26.94,117.62,0.41,3_Black,30,2
8/30/2018,27.26,24.72,131.5,0.61,2_White,30,2
8/30/2018,27.38,24.72,131.5,0.61,3_Black,30,2
8/31/2018,28.49,26.65,200.68,0.03,2_White,30,2
8/31/2018,28.48,26.65,200.68,0.03,3_Black,30,2
9/1/2018,29.64,27.2,252.54,1.35,2_White,30,2
9/1/2018,29.68,27.2,252.54,1.35,3_Black,30,2
9/2/2018,30.67,27.33,236.44,0.53,2_White,30,2
9/2/2018,30.54,27.33,236.44,0.53,3_Black,30,2
